"Depth_ft","Total_Porosity"
6143.95,0.0453
6145.4,0.0471
6149.84,0.0524
6152.86,0.0547
6157.85,0.0466
6159.86,0.0502
6167.25,0.0456
6172.28,0.0522
6176.83,0.0492
6181.08,0.0452
6184.35,0.0384
6193.4,0.0406
6204.46,0.0462
6208.98,0.0391
6215.27,0.0405
6221.3,0.0436
6232.31,0.0338
6234.37,0.0542
6240.81,0.0453
6245.16,0.0472
6256.01,0.0335
6263.81,0.035
6274.06,0.0386
6280.04,0.0429
6288.52,0.0395
6292.53,0.0314
6295.32,0.0418
6299.3,0.0377
6303.35,0.037
6307.98,0.035
6313.75,0.0298
6315.85,0.0509
6317.16,0.0517
6323.97,0.053
6325.49,0.0442
6331.37,0.049
6334.26,0.0474
6338.75,0.0485
6346.47,0.0447
6350.38,0.0435
6353.52,0.0327
