Depth_ft,Formation,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay
6142.35,Utica,23,5,8,4,1,3,0,3,0,0,53
6148.24,Utica,25,0,0,5,0,0,10,3,0,0,58
6156.25,Utica,20,3,6,11,1,3,15,5,0,0,36
6165.65,Utica,22,4,5,12,0,5,3,5,0,0,45
6175.23,Utica,27,6,1,12,0,3,2,5,1,0,43
6182.75,Utica,26,4,1,18,0,5,1,4,0,2,39
6202.86,Utica,24,3,6,15,0,2,5,4,0,0,41
6213.67,Utica,21,5,4,17,0,5,4,3,1,0,42
6230.71,Utica,23,2,1,17,0,3,1,3,0,1,48
6239.21,Utica,24,6,0,13,0,4,3,2,0,1,47
6254.41,Utica,23,6,2,28,1,7,1,3,0,0,29
6272.46,Utica,22,5,1,23,0,3,5,2,1,0,38
6286.92,Utica,21,4,4,24,1,4,4,2,0,0,36
6293.72,Utica,18,0,13,21,0,0,5,2,0,1,41
6301.75,Utica,21,2,4,23,0,4,7,3,1,1,35
6312.15,Utica,26,6,2,18,0,4,5,4,0,0,36
6315.56,Utica,20,7,2,28,0,4,9,3,1,0,27
6323.89,Utica,24,2,1,29,0,0,7,3,0,0,35
6332.66,Utica,22,1,0,34,0,3,6,4,0,0,31
6344.87,Utica,21,0,1,47,0,0,6,3,0,0,23
6351.92,Utica,17,0,1,52,0,0,3,6,1,0,19
6369.65,PP,15,0,0,63,0,2,3,2,1,1,14
6375.83,PP,11,0,3,58,0,0,4,2,0,0,23
6381.15,PP,12,0,6,59,0,3,4,3,0,0,14
6390.16,PP,10,0,0,66,0,2,2,2,0,0,17
6407.76,PP,10,0,0,69,0,0,6,1,1,0,13
6417.87,PP,5,0,0,80,0,0,5,2,3,0,4
6431.37,PP,12,0,1,64,0,0,5,3,2,0,13
6438.44,PP,13,1,7,54,0,0,3,3,2,0,17
6442.77,PP,15,0,0,66,0,0,7,1,2,0,9
6450.9,Trenton,2,0,0,92,0,1,4,0,0,0,0
6457.36,Trenton,7,0,0,83,0,4,5,0,2,0,0
