Depth_ft,Formation,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay
7786.10,Utica,27.1,5.4,0.3,14.8,2.7,3.1,46.6
7816.35,Utica,21.6,6.4,0.5,12.2,2.2,3.6,53.6
7846.40,Utica,20.4,3.8,0.9,27.8,3.1,2.2,41.9
7876.60,PP,26.6,3.7,0.6,31.4,0.0,3.1,34.7
7894.60,PP,25.1,5.6,0.4,28.6,0.8,3.6,36.0
7906.40,PP,14.4,3.1,0.9,49.9,1.7,5.1,24.9
7918.40,PP,17.8,3.1,0.3,44.9,1.3,5.0,27.3
7931.45,PP,8.1,1.2,0.0,69.4,4.8,1.5,15.0
7941.95,PP,10.7,2.5,0.7,57.6,0.9,3.7,24.0
7953.80,PP,9.5,2.4,0.8,47.8,0.7,4.0,34.9
7965.10,Lexington,1.4,0.0,0.0,95.4,0.0,1.0,2.1
7978.40,Lexington,20.9,1.3,0.0,65.5,1.1,1.6,9.6
